"ID","PID","Title","Keywords"
"hhhr5/6-8h","hhhr5/6-8","Kennen der Kreisskala mit 360°",""
"hhhr5/6-9","hhhr5/6","5/6-9 Daten und Zufall: Wer gewinnt? Einfache Zufallsexperimente",""
"hhhr5/6-9a","hhhr5/6-9","Daten und Häufigkeiten und Wahrscheinlichkeiten","datas_frequentness_and_probabilities"
"hhhr5/6-9b","hhhr5/6-9","Wahrscheinlichkeit","Probability"
"hhhr5/6-9c","hhhr5/6-9","die Wahrscheinlichkeit im bekannten Zusammenhang berechnen","Calculate_probability_in_familiar_context"
"hhhr5/6-9d","hhhr5/6-9","Wahrscheinlichkeitstheorie auf 'echte' Situationen anwenden","Apply_probability"
"hhhr5/6-9e","hhhr5/6-9","Daten in einem Diagramm darstellen","Represent_data_in_a_diagram"
"hhhr5/6-9f","hhhr5/6-9","Daten (graphisch) darstellen","Represent_data"
"","","",""
"hhhr7/8","hhhr","Jahrgangsstufe 7/8",""
"hhhr7/8-1","hhhr7/8","7/8-1 Über und unter Null – Zahlenbereiche",""
"hhhr7/8-1a","hhhr7/8-1","rationale Zahl","Rational_Number"
"hhhr7/8-1b","hhhr7/8-1","Bruch","Fraction"
"hhhr7/8-1c","hhhr7/8-1","Gleichungen","Equations"
"hhhr7/8-1d","hhhr7/8-1","Terme",""
"hhhr7/8-1e","hhhr7/8-1","den Bruch a/b als Quotient von a durch b interpretieren","Interpret_fraction_a_over_b_as_quotient_of_a_by_b"
"hhhr7/8-1f","hhhr7/8-1","das Produkt von zwei positiven Brüchen berechnen","Calculate_product_of_two_positive_fractions"
"hhhr7/8-1g","hhhr7/8-1","Division von Brüchen berechnen","Calculate_division_of_fractions"
"hhhr7/8-1h","hhhr7/8-1","mit rationalen Zahlen rechnen","Calculate_with_rational_numbers"
"hhhr7/8-1i","hhhr7/8-1","Lösen von Gleichungen durch Probieren",""
"hhhr7/8-1j","hhhr7/8-1","Terme mit Variablen verwenden","Use_expressions_with_letters"
"hhhr7/8-1k","hhhr7/8-1","Terme berechnen","Evaluate_algebraic_formula"
"hhhr7/8-1l","hhhr7/8-1","einen Term mit einer Variablen kürzen","Reduce_an_expression_with_one_variable"
"hhhr7/8-1m","hhhr7/8-1","algbraische Terme verändern","Manipulate_algebraic_expressions"
"hhhr7/8-1n","hhhr7/8-1","Produkte und Quotienten vereinfachen",""
"hhhr7/8-2","hhhr7/8","7/8-2 Veränderungen und Zuordnungen",""
"hhhr7/8-2a","hhhr7/8-2","einen Graphen interpretieren","Interpret_graph"
"hhhr7/8-2b","hhhr7/8-2","einen Graphen und der eine echte Gegebenheit darstellt und interpretieren","Interpret_graphs_modelling_real_situations"
"hhhr7/8-2c","hhhr7/8-2","eine Wertetabelle zeichnen","plot_a_function_table"
"hhhr7/8-2d","hhhr7/8-2","den Dreisatz verwenden","Use_rule_of_three"
"hhhr7/8-2e","hhhr7/8-2","Die Bedeutung von 'Prozent' kennen","Know_meaning_of_percentag"
"hhhr7/8-2f","hhhr7/8-2","Prozentrechnen in einfachen Fällen verwenden","Use_percentage_in_simple_cases"
"hhhr7/8-3","hhhr7/8","7/8-3 Beziehungen in der Ebene: Dreiecke und Kreise",""
"hhhr7/8-3a","hhhr7/8-3","Dreieck","Triangle"
"hhhr7/8-3b","hhhr7/8-3","kongruente Dreiecke","Congruent_triangles"
"hhhr7/8-3c","hhhr7/8-3","Grundlegende Eigenschaften von Dreiecken","Basic_properties_of_triangles"
"hhhr7/8-3d","hhhr7/8-3","Kreis","Circle"
"hhhr7/8-3e","hhhr7/8-3","die Eigenschaften eines speziellen Dreiecks kennen","Know_particular_triangle_properties"
"hhhr7/8-3f","hhhr7/8-3","den Flächeninhalt eines Dreieck berechnen","Calculate_area_of_triangle"
