"ID","PID","Title","keywords"
"B8FMittelGl","B8FMittel","Lineare Gleichungen und Gleichungssysteme","Linear_Equation; Solve_graphically_linear_equation; Solve_linear_equation_with_whole_number_coefficients; Solve_graphically_linear_equation_by_giving_approximate_solution; Linear_equations_system; Solve_graphically_system_of_equations; Solve_problems_using_linear_equation; "
"B8FMittelF","B8FMittel","lineare Funktionen","Interpret_graph; describe_qualitatively_real_world_plots; Local_and_global_description_of_a_plot;  Linear_function; Graph_of_a_function;"
"B8FErweitert","BSek1Kl8F","Erweiterter Standard",""
"B8FErweitertZ","B8FErweitert","Zusammenhänge","Express_math_dependencies;  Proportional; Relationship; Understand_direct_proportion;  Understand_inverse_proportion; Distinguish_proportionality_problems_from_non_proportionality_problems; Proportional;  Inverse_proportionality_relation; plot_a_function_formula; Formula_of_a_function; Linear_expression; "
"B8FErweitertD","B8FErweitert","Darstellungsformen verwenden","Graphical_display_of_data; Geometric_Representation; Graphical_Representation; Use_graphical_display_of_data;"
"B8FErweitertP","B8FErweitert","Prozentrechnung","Percentage; Use_percentage_in_simple_cases; Know_meaning_of_percentage;  Use_percentage; Apply_percentage;"
"B8FErweitertGl","B8FErweitert","Lineare Gleichungen und Ungleichungen und Gleichungssysteme","Linear_Equation; Solve_graphically_linear_equation; Solve_linear_equation_with_whole_number_coefficients; Solve_graphically_linear_equation_by_giving_approximate_solution; Linear_equations_system; Solve_graphically_system_of_equations; Solve_problems_using_linear_equation; Solve_linear_inequation_with_whole_number_coefficients; solve_inequalities; "
"B8FErweitertF","B8FErweitert","lineare Funktionen","Interpret_graph; describe_qualitatively_real_world_plots; Local_and_global_description_of_a_plot;  Linear_function; Graph_of_a_function;"
"BSek1Kl8D","BSek1Kl8","Leitidee 'Daten und Zufall'",""
"B8DEinfach","BSek1Kl8D","Einfacher Standard",""
"B8DEinfachA","B8DEinfach","Auswertung von Daten","Interpret_mathematics_presented_in_a_range_of_forms; Graphical_display_of_data; Graphical_Representation; Data_analysis;  Statistical_data; Analyze_data; Read_data_from_table; Interpret_results_of_data_analysis"
"B8DEinfachD","B8DEinfach","Daten erfassen","Use_graphical_display_of_data; Represent_data; Represent_data_in_a_diagram; Use_spreadsheet_to_represent_data; Data_collect"
"B8DEinfachH","B8DEinfach","Häufigkeiten und Mittelwerte","Frequencies; datas_frequentness_and_probabilities; Calculate_relative_frequency; Mean;  Calculate_mean_of_discrete_data; "
"B8DEinfachW","B8DEinfach","Wahrscheinlichkeit und Zufall","Randomness; verbalize_random_processes; Probability; datas_frequentness_and_probabilities; Calculate_probability_of_compound_event; calculate_probability_from_simulation; Calculate_probability_in_familiar_context; "
"B8DMittel","BSek1Kl8D","Mittlerer Standard",""
"B8DMittelA","B8DMittel","Auswertung von Daten","Interpret_mathematics_presented_in_a_range_of_forms; Graphical_display_of_data; Graphical_Representation; Data_analysis;  Statistical_data; Analyze_data; Read_data_from_table; Interpret_results_of_data_analysis"
"B8DMittelD","B8DMittel","Daten erfassen","Use_graphical_display_of_data; Represent_data; Represent_data_in_a_diagram; Use_spreadsheet_to_represent_data; Data_collect"
"B8DMittelH","B8DMittel","Häufigkeiten und Mittelwerte","Frequencies; datas_frequentness_and_probabilities; Calculate_relative_frequency; Mean;  Calculate_mean_of_discrete_data; "
"B8DMittelW","B8DMittel","Wahrscheinlichkeit und Zufall","Randomness; verbalize_random_processes; Probability; datas_frequentness_and_probabilities; Calculate_probability_of_compound_event; calculate_probability_from_simulation; Calculate_probability_in_familiar_context; "
"B8DErweitert","BSek1Kl8D","Erweiterter Standard",""
"B8DErweitertA","B8DErweitert","Auswertung von Daten","Interpret_mathematics_presented_in_a_range_of_forms; Graphical_display_of_data; Graphical_Representation; Data_analysis;  Statistical_data; Analyze_data; Read_data_from_table; Interpret_results_of_data_analysis; Interpret_range_of_statistical_series; Interpret_results_of_data_analysis; Interpret_data_from_table; Compare_representations_of_situation; "
"B8DErweitertD","B8DErweitert","Daten erfassen","Use_graphical_display_of_data; Represent_data; Represent_data_in_a_diagram; Use_spreadsheet_to_represent_data; Data_collect; Bar_chart; Circular_chart; Construct_pie_chart;"
"B8DErweitertH","B8DErweitert","Häufigkeiten und Mittelwerte","Frequencies; datas_frequentness_and_probabilities; Calculate_relative_frequency; Mean;  Calculate_mean_of_discrete_data; "
"B8DErweitertW","B8DErweitert","Wahrscheinlichkeit und Zufall","Randomness; verbalize_random_processes; Probability; datas_frequentness_and_probabilities; Calculate_probability_of_compound_event; calculate_probability_from_simulation; Calculate_probability_in_familiar_context; "
